tconst,title,year,genres,rating,numVotes
tt0057565,High and Low,1963.0,"Crime, Drama, Mystery, Thriller",8.4,60935
tt0361748,Inglourious Basterds,2009.0,"Adventure, Drama, War",8.4,1689595
tt0056172,Lawrence of Arabia,1962.0,"Adventure, Biography, Drama, War",8.3,330046
tt0338013,Eternal Sunshine of the Spotless Mind,2004.0,"Drama, Romance, Sci-Fi",8.3,1139850
tt0062622,2001: A Space Odyssey,1968.0,"Adventure, Sci-Fi",8.3,755528
tt0033467,Citizen Kane,1941.0,"Drama, Mystery",8.3,482891
tt0070735,The Sting,1973.0,"Comedy, Crime, Drama",8.2,291216
tt2106476,The Hunt,2012.0,Drama,8.3,389592
tt0119698,Princess Mononoke,1997.0,"Animation, Adventure, Fantasy",8.3,462081
tt0017136,Metropolis,1927.0,"Drama, Sci-Fi",8.3,195108
tt0045152,Singin' in the Rain,1952.0,"Comedy, Musical, Romance",8.3,273379
tt0112573,Braveheart,1995.0,"Biography, Drama, War",8.3,1131781
tt0040522,Bicycle Thieves,1948.0,Drama,8.2,186061
tt10872600,Spider-Man: No Way Home,2021.0,"Action, Adventure, Fantasy, Sci-Fi",8.2,956621
tt0051201,Witness for the Prosecution,1957.0,"Crime, Drama, Mystery, Thriller",8.4,150646
tt0075314,Taxi Driver,1976.0,"Crime, Drama",8.2,982238
tt0091251,Come and See,1985.0,"Drama, Thriller, War",8.3,112927
tt0012349,The Kid,1921.0,"Comedy, Drama, Family",8.2,141685
tt0042192,All About Eve,1950.0,Drama,8.2,145153
tt0032551,The Grapes of Wrath,1940.0,Drama,8.1,105394
tt0071315,Chinatown,1974.0,"Drama, Mystery, Thriller",8.1,366057
tt0477348,No Country for Old Men,2007.0,"Crime, Drama, Thriller",8.2,1126501
tt0082096,Das Boot,1981.0,"Drama, War",8.4,279925
tt0071853,Monty Python and the Holy Grail,1975.0,"Adventure, Comedy, Fantasy",8.2,589282
tt0087843,Once Upon a Time in America,1984.0,"Crime, Drama",8.3,396272
tt0086250,Scarface,1983.0,"Crime, Drama",8.3,969540
tt0095016,Die Hard,1988.0,"Action, Thriller",8.2,992454
tt0114709,Toy Story,1995.0,"Animation, Adventure, Comedy, Family, Fantasy",8.3,1125957
tt0107290,Jurassic Park,1993.0,"Action, Adventure, Sci-Fi, Thriller",8.2,1122986
tt1838556,Honest Thief,2020.0,"Action, Crime, Drama, Thriller",6.0,60781
tt0395169,Hotel Rwanda,2004.0,"Biography, Drama, History, War",8.1,384549
tt0053198,The 400 Blows,1959.0,"Crime, Drama",8.0,131682
tt0095327,Grave of the Fireflies,1988.0,"Animation, Drama, War",8.5,351819
tt0048473,Pather Panchali,1955.0,Drama,8.2,40278
tt0079470,Monty Python's Life of Brian,1979.0,Comedy,8.0,429334
tt0208092,Snatch,2000.0,"Comedy, Crime",8.2,948414
tt0268978,A Beautiful Mind,2001.0,"Biography, Drama, Mystery",8.2,1024067
tt0097576,Indiana Jones and the Last Crusade,1989.0,"Action, Adventure",8.2,840669
tt0317705,The Incredibles,2004.0,"Animation, Action, Adventure, Family",8.0,858405
tt0025316,It Happened One Night,1934.0,"Comedy, Romance",8.1,117000
tt0015864,The Gold Rush,1925.0,"Adventure, Comedy, Drama, Romance, Western",8.1,124384
tt0031679,Mr. Smith Goes to Washington,1939.0,"Comedy, Drama",8.1,126371
tt0105695,Unforgiven,1992.0,"Drama, Western",8.2,455751
tt0118849,Children of Heaven,1997.0,"Drama, Family, Sport",8.2,86241
tt0032976,Rebecca,1940.0,"Drama, Mystery, Romance, Thriller",8.1,159490
tt0033870,The Maltese Falcon,1941.0,"Crime, Drama, Film-Noir, Mystery, Romance",7.9,171241
tt0061512,Cool Hand Luke,1967.0,"Crime, Drama",8.0,194522
tt0117951,Trainspotting,1996.0,Drama,8.1,751182
tt0372784,Batman Begins,2005.0,"Action, Crime, Drama, Thriller",8.2,1650689
tt0036868,The Best Years of Our Lives,1946.0,"Drama, Romance, War",8.1,74972
tt0382932,Ratatouille,2007.0,"Animation, Adventure, Comedy, Family, Fantasy",8.1,889587
tt0089881,Ran,1985.0,"Action, Drama, War",8.2,144534
tt0055630,Yojimbo,1961.0,"Action, Drama, Thriller",8.2,138230
tt0070047,The Exorcist,1973.0,Horror,8.1,479319
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983.0,"Action, Adventure, Fantasy, Sci-Fi",8.3,1169029
tt0032138,The Wizard of Oz,1939.0,"Adventure, Family, Fantasy, Musical",8.1,451848
tt0059578,For a Few Dollars More,1965.0,"Drama, Western",8.2,289572
tt0120735,"Lock, Stock and Two Smoking Barrels",1998.0,"Comedy, Crime",8.1,636405
tt0044741,Ikiru,1952.0,Drama,8.3,96873
tt0374546,"Spring, Summer, Fall, Winter... and Spring",2003.0,"Drama, Romance",8.0,89119
tt0096283,My Neighbor Totoro,1988.0,"Animation, Comedy, Family, Fantasy",8.1,409535
tt0053291,Some Like It Hot,1959.0,"Comedy, Music, Romance",8.2,295915
tt0119217,Good Will Hunting,1997.0,"Drama, Romance",8.3,1142133
tt0077416,The Deer Hunter,1978.0,"Drama, War",8.1,376575
tt0112641,Casino,1995.0,"Crime, Drama",8.2,594446
tt0246578,Donnie Darko,2001.0,"Drama, Mystery, Sci-Fi, Thriller",8.0,884520
tt0266543,Finding Nemo,2003.0,"Animation, Adventure, Comedy, Family",8.2,1163416
tt0074958,Network,1976.0,Drama,8.1,179859
tt0091763,Platoon,1986.0,"Drama, War",8.1,457400
tt0211915,Amélie,2001.0,"Comedy, Romance",8.3,820163
tt0118715,The Big Lebowski,1998.0,"Comedy, Crime",8.1,892532
tt0041959,The Third Man,1949.0,"Drama, Film-Noir, Mystery, Thriller",8.1,190275
tt0081398,Raging Bull,1980.0,"Biography, Drama, Sport",8.1,396818
tt0060827,Persona,1966.0,"Drama, Thriller",8.0,136536
tt0075148,Rocky,1976.0,"Drama, Sport",8.1,662073
tt0099348,Dances with Wolves,1990.0,"Adventure, Drama, Western",8.0,301534
tt1049413,Up,2009.0,"Animation, Adventure, Comedy, Drama, Family",8.3,1185614
tt0780536,In Bruges,2008.0,"Comedy, Crime, Drama, Thriller",7.9,480243
tt0061722,The Graduate,1967.0,"Comedy, Drama, Romance",8.0,297107
tt0084335,Missing,1982.0,"Biography, Drama, History, Mystery, Thriller",7.7,24667
tt0469494,There Will Be Blood,2007.0,Drama,8.2,673278
tt0112471,Before Sunrise,1995.0,"Comedy, Drama, Romance",8.1,360448
tt0367110,Swades,2004.0,"Drama, Musical",8.2,102069
tt0144084,American Psycho,2000.0,"Crime, Drama, Horror",7.6,784205
